time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-23T04:49:45.350Z,35.8803333,-120.43,9.539,2.12,md,35,55,0.02342,0.04,nc,nc21413438,2017-01-09T05:21:40.760Z,"2 km S of Parkfield, California",earthquake,0.26,0.3,0.12,24,automatic,nc,nc
2004-10-23T04:36:50.060Z,35.9515,-120.5223333,9.981,0.54,md,8,87,0.02162,0.01,nc,nc21413432,2017-01-09T05:21:32.882Z,"9 km NW of Parkfield, California",earthquake,0.88,1.24,,1,automatic,nc,nc
2004-10-23T04:28:16.320Z,35.9655,-120.5181667,1.978,0.94,md,11,98,0.01532,0.05,nc,nc21413430,2017-01-09T05:21:29.455Z,"10 km NW of Parkfield, California",earthquake,0.27,0.61,0.03,4,automatic,nc,nc
2004-10-23T04:18:08.720Z,35.9451667,-120.4955,12.76,2.01,md,35,63,0.01171,0.09,nc,nc21413427,2017-01-09T05:21:24.510Z,"7 km NW of Parkfield, California",earthquake,0.27,0.34,0.17,26,automatic,nc,nc
2004-10-23T03:58:17.210Z,35.9261667,-120.4725,4.78,1.6,md,21,69,0.03423,0.05,nc,nc21413415,2017-01-09T05:21:18.545Z,"4 km NW of Parkfield, California",earthquake,0.27,0.42,0.09,12,automatic,nc,nc
2004-10-23T03:44:41.740Z,35.91,-120.4525,5.94,2.73,md,46,42,0.03423,0.06,nc,nc21413404,2017-01-09T05:21:10.480Z,"2 km WNW of Parkfield, California",earthquake,0.16,0.24,0.07,55,automatic,nc,nc
2004-10-23T01:33:28.740Z,35.9571667,-120.5106667,13.248,1.66,md,29,61,0.01171,0.08,nc,nc21413222,2017-01-09T05:20:53.391Z,"9 km NW of Parkfield, California",earthquake,0.34,0.28,0.11,15,automatic,nc,nc
2004-10-23T00:03:51.290Z,35.9586667,-120.5108333,13.013,1.84,md,33,61,0.02162,0.09,nc,nc21413045,2017-01-09T05:20:40.180Z,"9 km NW of Parkfield, California",earthquake,0.29,0.39,0.14,20,automatic,nc,nc
2004-10-22T23:51:25.590Z,35.9655,-120.5136667,2.808,0.64,md,8,112,0.01441,0.03,nc,nc21413005,2017-01-09T05:20:34.444Z,"10 km NW of Parkfield, California",earthquake,0.38,0.89,0.1,2,automatic,nc,nc
2004-10-22T23:10:46.380Z,35.9365,-120.4835,5.257,1.1,md,11,113,0.02252,0.02,nc,nc21412841,2017-01-09T05:20:22.710Z,"6 km NW of Parkfield, California",earthquake,0.38,0.9,0.06,3,automatic,nc,nc
2004-10-22T21:21:57.190Z,35.9281667,-120.4756667,6.1,1.03,md,11,111,0.03243,0.04,nc,nc21412655,2017-01-09T05:20:18.758Z,"5 km NW of Parkfield, California",earthquake,0.45,1.1,0.05,4,automatic,nc,nc
2004-10-22T14:54:28.000Z,35.8528333,-120.392,3.559,1.12,md,5,212,0.01712,0.01,nc,nc21412437,2017-01-09T05:19:13.749Z,"6 km SE of Parkfield, California",earthquake,1.45,1.07,0.35,2,automatic,nc,nc
2004-10-22T11:58:33.950Z,35.9221667,-120.4721667,6.156,0.65,md,9,124,0.03604,0.04,nc,nc21412380,2017-01-09T05:18:53.208Z,"4 km NW of Parkfield, California",earthquake,0.8,1.78,0.11,2,automatic,nc,nc
2004-10-22T10:11:32.330Z,35.929,-120.479,5.233,1.06,md,8,106,0.02883,0.04,nc,nc21412330,2017-01-09T05:18:31.720Z,"5 km NW of Parkfield, California",earthquake,0.53,1.51,0.02,2,automatic,nc,nc
